pilot_id,fid,ids,nir,red,redge,green,blue
176,0,2,0.9823,1.2711,1.1818,1.5294,1.6622
195,0,2,1.0174,1.3150,1.2233,1.5857,1.7226
211,0,2,1.0293,1.3255,1.2340,1.5986,1.7347
232,0,2,1.0318,1.3233,1.2324,1.5953,1.7282
235,0,5,1.0318,1.3233,1.2324,1.5953,1.7282
255,227,5,1.0142,1.3169,1.2191,1.5784,1.7117
255,228,5,1.0142,1.3169,1.2191,1.5784,1.7117
285,0,5,1.0295,1.3350,1.2419,1.6126,1.7536
356,0,2,0.9601,1.2330,1.1475,1.4805,1.6052
375,0,2,0.8902,1.1469,1.0644,1.3719,1.4892
378,0,2,0.9216,1.1828,1.1014,1.4167,1.5366
385,0,2,0.8740,1.1299,1.0490,1.3510,1.4685
391,0,2,0.91364,1.1714,1.1062,1.404,1.5252
412,0,2,0.7714,0.98231,0.91211,1.1606,1.257
415,0,2,0.98781,1.2756,1.1962,1.5346,1.6689
452,0,2,1.1259,1.4547,1.3673,1.759,1.9139
473,0,5,1.0429,1.3531,1.2553,1.6299,1.7716
475,0,5,1.04,1.3493,1.2519,1.6253,1.7664
482,0,5,1.0383,1.3339,1.2498,1.6058,1.7435
494,0,5,0.9597,1.2415,1.1380,1.4866,1.6104
495,320,5,0.9597,1.2415,1.1380,1.4866,1.6104
495,324,5,0.9597,1.2415,1.1380,1.4866,1.6104
495,325,5,0.9597,1.2415,1.1380,1.4866,1.6104
495,330,5,0.9597,1.2415,1.1380,1.4866,1.6104
512,346,2,0.86544,1.1102,1.0404,1.3249,1.4384
512,347,2,0.86544,1.1102,1.0404,1.3249,1.4384
512,348,2,0.85849,1.1011,1.0315,1.313,1.4256
512,349,2,0.85849,1.1011,1.0315,1.313,1.4256
512,350,2,0.82487,1.0564,0.98972,1.2567,1.364
512,351,2,0.82487,1.0564,0.98972,1.2567,1.364
512,352,2,0.82487,1.0564,0.98972,1.2567,1.364
512,353,2,0.82487,1.0564,0.98972,1.2567,1.364
512,190,2,0.85849,1.1011,1.0315,1.313,1.4256
512,191,2,0.85849,1.1011,1.0315,1.313,1.4256
512,192,2,0.82487,1.0564,0.98972,1.2567,1.364
512,193,2,0.86544,1.1102,1.0404,1.3249,1.4384
512,194,2,0.86544,1.1102,1.0404,1.3249,1.4384
512,356,2,0.85849,1.1011,1.0315,1.313,1.4256
512,360,2,0.85849,1.1011,1.0315,1.313,1.4256
513,281,2,0.92067,1.1843,1.1116,1.4193,1.5421
513,282,2,0.92067,1.1843,1.1116,1.4193,1.5421
513,285,2,0.92067,1.1843,1.1116,1.4193,1.5421
513,286,2,0.92067,1.1843,1.1116,1.4193,1.5421
513,287,2,0.92067,1.1843,1.1116,1.4193,1.5421
514,13,2,0.89376,1.152,1.074,1.3775,1.4961
514,165,2,0.89376,1.152,1.074,1.3775,1.4961
514,232,2,0.89376,1.152,1.074,1.3775,1.4961
514,355,2,0.89376,1.152,1.074,1.3775,1.4961
514,359,2,0.89376,1.152,1.074,1.3775,1.4961
516,0,2,0.92044,1.1809,1.1098,1.4143,1.5361
518,0,2,0.91493,1.1749,1.0998,1.4066,1.5275
521,13,2,0.9096,1.1683,1.0958,1.3993,1.5202
521,232,2,0.9096,1.1683,1.0958,1.3993,1.5202
521,361,2,0.9096,1.1683,1.0958,1.3993,1.5202
524,346,5,0.88897,1.146,1.0616,1.3693,1.4859
524,347,5,0.88897,1.146,1.0616,1.3693,1.4859
524,348,5,0.87471,1.1272,1.0438,1.3453,1.4597
524,349,5,0.87471,1.1272,1.0438,1.3453,1.4597
524,350,5,0.80362,1.0326,0.95571,1.2256,1.3294
524,351,5,0.80362,1.0326,0.95571,1.2256,1.3294
524,352,5,0.80362,1.0326,0.95571,1.2256,1.3294
524,353,5,0.80362,1.0326,0.95571,1.2256,1.3294
524,190,5,0.87471,1.1272,1.0438,1.3453,1.4597
524,191,5,0.87471,1.1272,1.0438,1.3453,1.4597
524,192,5,0.80362,1.0326,0.95571,1.2256,1.3294
524,193,5,0.88897,1.146,1.0616,1.3693,1.4859
524,194,5,0.88897,1.146,1.0616,1.3693,1.4859
524,356,5,0.87471,1.1272,1.0438,1.3453,1.4597
524,360,5,0.87471,1.1272,1.0438,1.3453,1.4597
531,134,2,0.85912,1.1081,1.0307,1.3227,1.4364
531,354,2,0.85912,1.1081,1.0307,1.3227,1.4364
531,362,2,0.93673,1.2132,1.1266,1.4555,1.5817
534,212,2,0.85707,1.0891,1.0271,1.2979,1.4072
534,211,2,
534,171,2,
534,153,2,0.91519 , 1.1662 , 1.0995 , 1.3953 , 1.5135
535,82,2,0.94545 , 1.2115 , 1.1396 , 1.4537 , 1.5784
535,160,2,
536,354,2,0.9346 , 1.2042 , 1.1232 , 1.4442 , 1.5687
536,363,2,0.79095 , 1.0325 , 0.93892 , 1.226 , 1.3314
536,364,2,0.79095 , 1.0325 , 0.93892 , 1.226 , 1.3314
536,4,2,0.79095 , 1.0325 , 0.93892 , 1.226 , 1.3314
538,145,2,0.95439 , 1.2375 , 1.1482 , 1.4863 , 1.6156
538,151,2,0.96654 , 1.2447 , 1.1669 , 1.4959 , 1.6257
538,160,2,0.96169 , 1.2472 , 1.1574 , 1.4986 , 1.6289
538,164,2,0.96654 , 1.2447 , 1.1669 , 1.4959 , 1.6257
539,190,2,0.90272 , 1.1598 , 1.0848 , 1.3881 , 1.508
539,191,2,0.90272 , 1.1598 , 1.0848 , 1.3881 , 1.508
539,192,2,0.8421 , 1.0864 , 1.00686 , 1.2948 , 1.4066
539,193,2,0.92316 , 1.1852 , 1.1109 , 1.4205 , 1.5433
539,194,2,0.92316 , 1.1852 , 1.1109 , 1.4205 , 1.5433
539,346,2,0.92316 , 1.1852 , 1.1109 , 1.4205 , 1.5433
539,347,2,0.92316 , 1.1852 , 1.1109 , 1.4205 , 1.5433
539,348,2,0.90272 , 1.1598 , 1.0848 , 1.3881 , 1.508
539,349,2,0.90272 , 1.1598 , 1.0848 , 1.3881 , 1.508
539,350,2,0.8421 , 1.0864 , 1.00686 , 1.2948 , 1.4066
539,351,2,0.8421 , 1.0864 , 1.00686 , 1.2948 , 1.4066
539,352,2,0.8421 , 1.0864 , 1.00686 , 1.2948 , 1.4066
539,353,2,0.8421 , 1.0864 , 1.00686 , 1.2948 , 1.4066
539,356,2,0.90272 , 1.1598 , 1.0848 , 1.3881 , 1.508
539,360,2,0.90272 , 1.1598 , 1.0848 , 1.3881 , 1.508
540,145,2,0.95715 , 1.2315 , 1.1556 , 1.4794 , 1.6081
540,169,2,0.92442 , 1.1881 , 1.1146 , 1.4245 , 1.5479
540,170,2,0.89837 , 1.1536 , 1.0823 , 1.3806 , 1.5003
542,134,2,0.77834 , 1.013 , 0.92143 , 1.201 , 1.3038
542,282,2,0.89751 , 1.1716 , 1.0685 , 1.402 , 1.5224
542,374,2,0.8681 , 1.1324 , 1.0321 , 1.3521 , 1.468
542,375,2,0.92742 , 1.2128 , 1.1052 , 1.4539 , 1.5791
542,376,2,0.92742 , 1.2128 , 1.1052 , 1.4539 , 1.5791
542,377,2,
542,378,2,0.84578 , 1.103 , 1.00445 , 1.3147 , 1.4273